Organization,Category,Email,Website,Priority,Wave,Notes
Indiana Affiliation of Recovery Residences (INARR),CRS Credentialing / Approval,info@inarr.org,inarr.org,Critical,0,CRS training provider approval + fee waiver — send to this AND DMHA simultaneously
Indiana DMHA (FSSA),CRS Credentialing / Approval,DMHA@fssa.in.gov,in.gov/fssa/dmha,Critical,0,CRS training provider approval + fee waiver — send to this AND INARR simultaneously
CHIP Indianapolis,Directory / Coordination,info@chipindy.org,chipindy.org,High,1,Central directory — key multiplier for referrals
Holy Family Shelter,Shelter / Housing,gethelp@holyfamilyshelter.net,holyfamilyshelter.net,High,1,Shelter residents are direct training candidates
Dove Recovery House,Shelter / Housing,info@doverecoveryhouse.org,doverecoveryhouse.org,High,1,Women in recovery — strong referral fit
Emberwood Center (MHAI),Recovery / Treatment,emberwoodcenter@mhai.net,mhai.net,High,1,Mental health + recovery — workforce readiness pipeline
We Bloom,Recovery / Treatment,support@webloom.org,webloom.org,High,1,Recovery support — training referral pathway
Steps to Life,Recovery / Treatment,Steps.to_life@yahoo.com,,Medium,2,Recovery program
Flanner House,Community Center / Multi-Service,info@flannerhouse.org,flannerhouse.org,High,1,Historic Indy workforce org — natural partner
Mary Rigg Neighborhood Center,Community Center / Multi-Service,info@maryrigg.org,maryrigg.org,High,1,Westside community center — direct referral fit
Concord Neighborhood Center,Community Center / Multi-Service,info@concordindy.org,concordindy.org,High,1,Southside community services
Fay Biccard Glick Neighborhood Center,Community Center / Multi-Service,info@fbgncenter.org,fbgncenter.org,High,2,Crooked Creek area services
Christamore House,Community Center / Multi-Service,info@christamorehouse.org,christamorehouse.org,High,2,Haughville community center
Pour House,Community Center / Multi-Service,info@pourhouse.org,pourhouse.org,Medium,2,Community services
Unconditional Indy,Community Center / Multi-Service,info@unconditionalindy.com,unconditionalindy.com,Medium,2,Community outreach
Westminster Neighborhood Services,Community Center / Multi-Service,office@westmin.org,westmin.org,Medium,2,Near-eastside services
BACI,Immigration / Community,info@baci-indy.org,baci-indy.org,High,2,Burmese American Community Institute
Hope for Tomorrow USA,Immigration / Community,info@hopefortomorrowusa.org,hopefortomorrowusa.org,Medium,2,Immigrant community services
ACLU of Indiana,Legal / Advocacy,info@aclu-in.org,aclu-in.org,Medium,3,Legal advocacy — reentry referral potential
Indianapolis Church of Christ,Food / Faith-Based,info@indyccc.org,indyccc.org,Medium,3,Faith-based community services
Chapel Rock,Food / Faith-Based,info@chapelrock.org,chapelrock.org,Medium,3,Faith-based services
Mustard Seed of Indy,Food / Faith-Based,info@mustardseedindy.org,mustardseedindy.org,Medium,3,Food pantry + community services
You Feed Them Ministry,Food / Faith-Based,youfeedthemmfp@gmail.com,,Medium,3,Food ministry
St. Vincent de Paul,Food / Faith-Based,info@svdpindy.org,svdpindy.org,Medium,3,Catholic charity — food + emergency assistance
Brightwood Community Center,Food / Faith-Based,brightwoodcc@gmail.com,,Medium,3,Brightwood area services
Cumberland United Methodist,Food / Faith-Based,cumbc5815@gmail.com,,Low,3,Faith-based
Circle City Relief,Food / Faith-Based,circlecityrelief@yahoo.com,,Low,3,Mobile food ministry
University UMC,Food / Faith-Based,universityumcap@gmail.com,,Low,3,Faith-based
MBC,Food / Faith-Based,mbc_952@yahoo.com,,Low,3,Faith-based
