"Lesson_ID","Module","Lesson_Order","Lesson_Title","Script_Text","Diagram_Prompt","Diagram_File","Video_File","Audio_File","Quiz_Question","Quiz_Answer","Key_Concept","Lesson_Duration_Min"
"hvac-01-01","Program Orientation","1","Program Overview and Career Pathways","Let's talk about what this program is going to do for you.

This lesson introduces the full 16-module HVAC training program. You will learn the weekly schedule, what credentials you earn (EPA 608 Universal, OSHA 10, CPR/AED), how the classroom and lab time is structured, and what employers expect from graduates. The HVAC industry has a severe technician shortage — the Bureau of Labor Statistics projects 13% job growth through 2031, much faster than average. Starting wages for certified technicians range from $16-22/hr, with experienced techs earning $25-40/hr. This program prepares you for immediate employment as an apprentice technician.

Here are the key terms. Write these down.

EPA 608: Federal certification required by the Clean Air Act to purchase or handle any refrigerant. Without it, you cannot legally work on AC or refrigeration systems.

OSHA 10: 10-hour construction safety certification delivered through CareerSafe. DOL wallet card issued upon completion. Required by most HVAC employers.

ETPL: Eligible Training Provider List — state-approved programs that qualify for WIOA workforce funding.

Here's why this matters on the job: Understanding the career pathway from day one helps you set realistic expectations. Employers want technicians who understand the licensing process and are committed to building hours toward journeyman status.

Watch out for these: Do not skip the documentation requirements — missing paperwork delays your funding. And — Register at indianacareerconnect.com immediately if you have not already

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Program Overview and Career Pathways technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-01-01.mp4","hvac/audio/lesson-01-01.mp3","What is the key concept of Program Overview and Career Pathways?","This lesson introduces the full 16-module HVAC training program","This lesson introduces the full 16-module HVAC training program","3"
"hvac-01-02","Program Orientation","2","Funding and Enrollment Requirements","Let's talk about what this program is going to do for you.

WIOA (Workforce Innovation and Opportunity Act) is the primary funding source for most students in this program. This lesson explains exactly what WIOA covers: tuition, tools, transportation, childcare, work clothing, and certification exam fees. You will learn the eligibility requirements, how to work with your WorkOne case manager, and what documentation you need. Other funding options include the Workforce Ready Grant (WRG) for Indiana residents, Justice Reinvestment Initiative (JRI) for justice-involved individuals, and self-pay with flexible payment plans.

Here are the key terms. Write these down.

WIOA: Workforce Innovation and Opportunity Act — federal funding for job training administered through local WorkOne offices.

WRG: Workforce Ready Grant — Indiana state funding for high-demand certifications, no income requirements.

ITA: Individual Training Account — the WIOA funding mechanism that pays your tuition directly to the training provider.

Here's why this matters on the job: Understanding your funding keeps you enrolled. Students who lose funding usually lose it because they missed documentation deadlines or attendance requirements — not because they were ineligible.

Watch out for these: Keep copies of every document you submit. And — Respond to your case manager within 24 hours — they control your funding

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Funding and Enrollment Requirements technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-96576bf0-cbd5-581f-99aa-f36e48e694fd.mp4","hvac/audio/lesson-96576bf0-cbd5-581f-99aa-f36e48e694fd.mp3","What is the key concept of Funding and Enrollment Requirements?","WIOA (Workforce Innovation and Opportunity Act) is the primary funding source for most students in this program","WIOA (Workforce Innovation and Opportunity Act) is the primary funding source for most students in this program","3"
"hvac-01-03","Program Orientation","3","HVAC Career Ladder","Let's talk about what this program is going to do for you.

The HVAC industry offers four career levels: Apprentice (0-2 years, $16-22/hr), Journeyman (2-5 years, $22-32/hr), Master Technician (5-10 years, $32-45/hr), and Contractor/Business Owner ($50-100K+ annually). This lesson maps each level to the certifications, hours, and skills required. You will also learn about specialization paths: residential service, commercial HVAC, refrigeration, building automation, and energy management. The skilled trades are experiencing a generational workforce gap — millions of technicians are retiring and not enough new workers are entering the field.

Here are the key terms. Write these down.

Journeyman: Licensed technician who has completed required OJT hours (typically 2,000+) and passed the state exam. Can work independently.

Master Technician: Experienced technician with advanced certifications (NATE, manufacturer-specific) who can diagnose complex system problems.

NATE: North American Technician Excellence — the leading third-party certification for HVAC technicians, recognized by all major manufacturers.

Here's why this matters on the job: Knowing the career ladder helps you negotiate your first job. An employer offering $16/hr with a clear path to journeyman is often better than $18/hr with no advancement plan.

Watch out for these: Track your OJT hours from day one — you will need documentation for licensure. And — Ask potential employers about their apprenticeship structure during interviews

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC HVAC Career Ladder technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-5c5b516c-2e7c-5cae-8231-1f4483c1a912.mp4","hvac/audio/lesson-5c5b516c-2e7c-5cae-8231-1f4483c1a912.mp3","What is the key concept of HVAC Career Ladder?","The HVAC industry offers four career levels: Apprentice (0-2 years, $16-22/hr), Journeyman (2-5 years, $22-32/hr), Master Technician (5-10 years, $32-45/hr), and Contractor/Business Owner ($50-100K+ annually)","The HVAC industry offers four career levels: Apprentice (0-2 years, $16-22/hr), Journeyman (2-5 years, $22-32/hr), Master Technician (5-10 years, $32-45/hr), and Contractor/Business Owner ($50-100K+ annually)","3"
"hvac-01-04","Program Orientation","4","Module 1 Quiz","Let's talk about what this program is going to do for you.

This quiz covers program structure, funding options, attendance requirements, documentation needs, and career pathways. You must score 70% or higher to proceed. The quiz tests whether you understand the practical requirements of staying enrolled and funded — not technical HVAC knowledge yet.

Here's why this matters on the job: Employers value technicians who understand the business side of the trade, not just the technical side.

Watch out for these: Review the attendance and documentation requirements before taking this quiz. And — Know the difference between WIOA, WRG, and JRI funding

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Module 1 Quiz technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-4097148b-7a06-5784-9807-5e3470d4c091.mp4","hvac/audio/lesson-4097148b-7a06-5784-9807-5e3470d4c091.mp3","What is the key concept of Module 1 Quiz?","This quiz covers program structure, funding options, attendance requirements, documentation needs, and career pathways","This quiz covers program structure, funding options, attendance requirements, documentation needs, and career pathways","3"
"hvac-02-01","HVAC Fundamentals and Safety","1","What HVAC Systems Do","Before you touch a single tool, you need to understand what HVAC systems actually do.

Every HVAC system has the same basic job: move heat from where you do not want it to where you do. In cooling mode, the system moves heat from inside the building to outside. In heating mode, it moves heat from a fuel source (gas, electricity, or outdoor air) into the building. This lesson covers the complete system: outdoor condenser unit, indoor air handler or furnace, evaporator coil, refrigerant lines (suction and liquid), ductwork (supply and return), thermostat, and electrical connections. You will learn how these components connect and why each one is necessary. The split-system air conditioner is the most common residential configuration — you will service this system more than any other in your career.

Here are the key terms. Write these down.

Split System: An HVAC system with components split between outdoor (condenser) and indoor (air handler/furnace) units, connected by refrigerant lines.

Condenser: The outdoor unit containing the compressor, condenser coil, and fan motor. Rejects heat to the outdoor air.

Evaporator: The indoor coil where cold refrigerant absorbs heat from room air. Located above the furnace or inside the air handler.

Here's why this matters on the job: On every service call, you must quickly identify all system components and understand how they connect. A technician who cannot trace the refrigerant circuit or airflow path cannot diagnose problems.

Watch out for these: The suction line is ALWAYS the larger of the two refrigerant lines — it carries low-pressure vapor. And — Never confuse the supply duct (conditioned air out) with the return duct (room air back)

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC What HVAC Systems Do technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-ee8c4e3a-b1c6-51bf-acd5-2836c8b16e56.mp4","hvac/audio/lesson-ee8c4e3a-b1c6-51bf-acd5-2836c8b16e56.mp3","What is the key concept of What HVAC Systems Do?","Every HVAC system has the same basic job: move heat from where you do not want it to where you do","Every HVAC system has the same basic job: move heat from where you do not want it to where you do","3"
"hvac-02-02","HVAC Fundamentals and Safety","2","Heat Transfer Principles","Before you touch a single tool, you need to understand what HVAC systems actually do.

This lesson covers every tool in your HVAC toolkit and how to use each one correctly. The digital multimeter measures voltage, resistance, continuity, and capacitance — you will use it on every single service call. The clamp-on ammeter measures current without disconnecting wires. The manifold gauge set connects to the system service ports to measure suction and discharge pressure — the blue gauge reads low-side pressure, the red gauge reads high-side pressure, and the yellow center hose connects to the refrigerant cylinder or vacuum pump. You will also learn to use thermometers (pipe clamp and digital), leak detectors (electronic and UV dye), vacuum pumps, recovery machines, refrigerant scales, tube cutters, flaring tools, swaging tools, and hand tools specific to HVAC work.

Here are the key terms. Write these down.

Multimeter: Measures voltage (V), resistance (Ω), continuity, and capacitance (µF). The most-used diagnostic tool in HVAC.

Manifold Gauge Set: Two pressure gauges (blue=low side, red=high side) with valves and hoses for measuring system pressures and charging refrigerant.

Clamp Meter: Measures amperage by clamping around a wire without disconnecting it. Used to check motor amp draw against nameplate ratings.

Here's why this matters on the job: A technician without proper tools cannot diagnose anything. Employers expect you to own a basic toolkit. Many WIOA programs cover tool costs — take advantage of this.

Watch out for these: Always zero your multimeter before measuring resistance. And — Never connect the high-side gauge hose to the low-side port — check the line sizes

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Heat Transfer Principles technical diagram with labeled components","ref-cycle-heat-flow.png","hvac/videos/lesson-fea2c0e6-ac93-518e-ae22-9528daa1ec3f.mp4","hvac/audio/lesson-fea2c0e6-ac93-518e-ae22-9528daa1ec3f.mp3","What is the key concept of Heat Transfer Principles?","This lesson covers every tool in your HVAC toolkit and how to use each one correctly","This lesson covers every tool in your HVAC toolkit and how to use each one correctly","3"
"hvac-02-03","HVAC Fundamentals and Safety","3","Refrigeration Cycle Overview","Before you touch a single tool, you need to understand what HVAC systems actually do.

HVAC work involves serious hazards: high voltage (240V+), refrigerant exposure (frostbite, asphyxiation in confined spaces), working at heights (rooftops, ladders), hot surfaces (brazing, furnace heat exchangers), and rotating machinery (fan blades, blower motors). This lesson covers required PPE: safety glasses (always), work gloves (when handling sheet metal or hot surfaces), steel-toe boots, hearing protection (near compressors), and respiratory protection (when working with chemicals or in dusty environments). You will learn lockout/tagout (LOTO) procedures — the process of disconnecting and verifying zero energy before working on equipment. LOTO is not optional. Technicians die every year from equipment that was not properly de-energized.

Here are the key terms. Write these down.

LOTO: Lockout/Tagout — the procedure of disconnecting power, locking the disconnect, and verifying 0 volts before working on equipment.

PPE: Personal Protective Equipment — safety glasses, gloves, boots, hearing protection, and respiratory protection as required by the task.

Arc Flash: An electrical explosion caused by a short circuit through air. Can cause severe burns and death. Proper PPE and de-energization prevent arc flash incidents.

Here's why this matters on the job: Safety violations get you fired immediately. No employer will tolerate a technician who skips LOTO or does not wear PPE. More importantly, safety keeps you alive.

Watch out for these: ALWAYS verify 0 volts with YOUR OWN multimeter after pulling the disconnect — never trust someone else. And — Refrigerant is heavier than air — it sinks to the floor in enclosed spaces and displaces oxygen

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Refrigeration Cycle Overview technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-f2878977-fe02-568e-afdf-7d6fcf67b375.mp4","hvac/audio/lesson-f2878977-fe02-568e-afdf-7d6fcf67b375.mp3","What is the key concept of Refrigeration Cycle Overview?","HVAC work involves serious hazards: high voltage (240V+), refrigerant exposure (frostbite, asphyxiation in confined spaces), working at heights (rooftops, ladders), hot surfaces (brazing, furnace heat exchangers), and rotating machinery (fan blades, blower motors)","HVAC work involves serious hazards: high voltage (240V+), refrigerant exposure (frostbite, asphyxiation in confined spaces), working at heights (rooftops, ladders), hot surfaces (brazing, furnace heat exchangers), and rotating machinery (fan blades, blower motors)","3"
"hvac-02-04","HVAC Fundamentals and Safety","4","Safety Fundamentals","Before you touch a single tool, you need to understand what HVAC systems actually do.

In this lab, you will physically identify every major component on a residential split-system air conditioner. You will locate the compressor, condenser coil, fan motor, capacitor, contactor, and service valves on the outdoor unit. On the indoor unit, you will identify the evaporator coil, blower motor, air filter, control board, and thermostat connections. You will trace the refrigerant circuit from the compressor discharge through the condenser coil, liquid line, metering device, evaporator coil, and suction line back to the compressor. You will also trace the airflow path from the return grille through the filter, across the evaporator coil, through the supply ductwork, and out the supply registers.

Here are the key terms. Write these down.

Discharge Line: The hot gas line from the compressor outlet to the condenser coil inlet. Hot to the touch during operation.

Liquid Line: The smaller copper line carrying warm high-pressure liquid from the condenser to the metering device.

Suction Line: The larger insulated copper line carrying cold low-pressure vapor from the evaporator back to the compressor.

Here's why this matters on the job: Component identification is the foundation of every service call. If you cannot find the capacitor in 30 seconds, you cannot diagnose a no-cooling call efficiently.

Watch out for these: The capacitor stores electrical charge even when power is off — always discharge it before handling. And — The contactor may be stuck closed (welded contacts) — check before assuming the system is off

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Safety Fundamentals technical diagram with labeled components","safety-equipment.png","hvac/videos/lesson-317fd364-2d8c-5d5f-9ade-e096ec30ab26.mp4","hvac/audio/lesson-317fd364-2d8c-5d5f-9ade-e096ec30ab26.mp3","What is the key concept of Safety Fundamentals?","In this lab, you will physically identify every major component on a residential split-system air conditioner","In this lab, you will physically identify every major component on a residential split-system air conditioner","3"
"hvac-02-05","HVAC Fundamentals and Safety","5","Module 2 Quiz","Before you touch a single tool, you need to understand what HVAC systems actually do.

This quiz tests your understanding of HVAC system components, tool identification and usage, safety procedures, and PPE requirements. You must identify components by description, match tools to their diagnostic purpose, and demonstrate knowledge of LOTO procedures.

Here's why this matters on the job: Employers test new hires on basic component identification and safety knowledge before allowing them on job sites.

Watch out for these: Know the difference between the suction line and liquid line. And — Know which PPE is required for each type of task

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Module 2 Quiz technical diagram with labeled components","ref-cycle-overview.png","hvac/videos/lesson-b38d2dfa-ad67-5664-98a1-f831d3d7ea07.mp4","hvac/audio/lesson-b38d2dfa-ad67-5664-98a1-f831d3d7ea07.mp3","What is the key concept of Module 2 Quiz?","This quiz tests your understanding of HVAC system components, tool identification and usage, safety procedures, and PPE requirements","This quiz tests your understanding of HVAC system components, tool identification and usage, safety procedures, and PPE requirements","3"
"hvac-03-01","Electrical Basics for HVAC","1","Electrical Fundamentals","Electricity runs everything in an HVAC system. If you don't understand it, you can't diagnose anything.

Electricity is the language of HVAC systems. Every component — compressor, fan motor, blower, control board, thermostat — runs on electricity. This lesson teaches the three fundamental electrical properties: Voltage (V) is electrical pressure — the force that pushes electrons through a circuit. Current (I, measured in Amps) is the flow of electrons — how much electricity is moving. Resistance (R, measured in Ohms) is opposition to current flow. Ohm's Law ties them together: V = I × R. If you know any two values, you can calculate the third. Watt's Law adds power: P = V × I. A 240V compressor drawing 15 amps uses 3,600 watts (3.6 kW). You will use these calculations on every service call to determine if motors are drawing correct amperage, if circuits are properly sized, and if components have failed.

Here are the key terms. Write these down.

Voltage (V): Electrical pressure measured in volts. Residential HVAC uses 24V (control), 120V (blower), and 240V (compressor, heat strips).

Amperage (I): Electrical current measured in amps. Compare measured amps to the nameplate rating to determine if a motor is working correctly.

Resistance (Ω): Opposition to current flow measured in ohms. A good wire has near-zero ohms. An open circuit has infinite ohms.

Here's why this matters on the job: When a compressor nameplate says RLA 14.0 and you measure 18.5 amps, you know something is wrong — dirty condenser coil, low voltage, or failing compressor. Without understanding amps, you cannot make this diagnosis.

Watch out for these: Always measure voltage BEFORE measuring resistance — never measure resistance on an energized circuit. And — A motor drawing MORE than RLA is overloaded. A motor drawing LESS than RLA may have a mechanical problem.

Take a minute before you move on. What's the one thing from this lesson you need to remember on a service call?","HVAC Electrical Fundamentals technical diagram with labeled components","multimeter-use.png","hvac/videos/lesson-dba03432-fb85-5f6f-bc69-4cc785a7904a.mp4","hvac/audio/lesson-dba03432-fb85-5f6f-bc69-4cc785a7904a.mp3","What is the key concept of Electrical Fundamentals?","Electricity is the language of HVAC systems","Electricity is the language of HVAC systems","3"
